description,description_local,unit,unit_local,local_language,carb,energy,protein,fat,meal_time,meal_time_local
"[""Brown Sugar Bread"", ""Sachet Jam"", ""Consommé Stew"", ""Fruit"", ""Milk""]","[""黒糖食パン120g"", ""袋ジャム"", ""コンソメ煮"", ""果物"", ""牛乳""]",[],[],Japanese,"[61.1, 9.8, 5.7, 22.3, 9.6]","[325.0, 38.0, 48.0, 85.0, 134.0]","[8.5, 0.0, 6.1, 1.1, 6.6]","[4.0, 0.0, 0.5, 0.2, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Japanese Sea Bass Teriyaki"", ""Bok Choy with Chinese Dressing"", ""Grilled Deep-Fried Tofu""]","[""米飯200"", ""スズキの照焼70g"", ""青梗菜中華浸し"", ""焼き厚揚げ""]",[],[],Japanese,"[74.2, 12.0, 4.7, 3.1]","[336.0, 168.0, 54.0, 102.0]","[5.0, 17.4, 0.9, 6.8]","[0.6, 5.3, 3.7, 6.8]",lunch,昼
"[""Cooked Rice"", ""Beef Stew"", ""Fresh Vegetable Salad"", ""Canned Fruit""]","[""米飯200"", ""ビーフシチュー"", ""生野菜サラダ"", ""果物缶""]",[],[],Japanese,"[74.2, 24.1, 3.0, 10.2]","[336.0, 261.0, 13.0, 42.0]","[5.0, 14.0, 0.4, 0.2]","[0.6, 12.0, 0.0, 0.1]",dinner,夕
"[""Milk bread (120g)"", ""Margarine"", ""Vegetable Salad"", ""Fruit Jelly"", ""Milk""]","[""食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 0.0, 2.4, 10.9, 9.6]","[330.0, 59.0, 27.0, 44.0, 134.0]","[8.9, 0.0, 4.2, 0.1, 6.6]","[4.9, 6.6, 0.3, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Steamed Chicken"", ""Ponzu Sauce"", ""Grated Daikon Radish"", ""Peanut Dressed Vegetables"", ""Ume Plum Dressed Vegetables""]","[""米飯200"", ""蒸し鶏"", ""Pポン酢(蒸し鶏用)"", ""おろし"", ""ピーナツ和え"", ""梅肉和え""]",[],[],Japanese,"[74.2, 1.9, 0.8, 2.9, 5.5, 4.8]","[336.0, 113.0, 4.0, 13.0, 56.0, 22.0]","[5.0, 15.5, 0.3, 0.4, 2.7, 1.0]","[0.6, 4.0, 0.0, 0.1, 2.9, 0.2]",lunch,昼
"[""Steamed rice"", ""Tempura"", ""Tempura dipping sauce"", ""Blanched spinach and enoki mushrooms in dashi"", ""Ginger soy sauce dressed side dish""]","[""米飯200"", ""てんぷら"", ""天つゆ"", ""ほうれん草とえのきの浸し"", ""生姜醤油和え""]",[],[],Japanese,"[74.2, 22.9, 5.8, 3.2, 4.4]","[336.0, 257.0, 31.0, 19.0, 24.0]","[5.0, 14.7, 1.9, 2.8, 1.8]","[0.6, 11.5, 0.2, 0.1, 0.2]",dinner,夕
"[""White bread (120g)"", ""Jam sachet"", ""Egg salad"", ""Fruit jelly"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""卵サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 2.0, 12.3, 9.6]","[330.0, 38.0, 112.0, 50.0, 134.0]","[8.9, 0.0, 3.8, 0.2, 6.6]","[4.9, 0.0, 9.9, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Beef Stroganoff"", ""Pumpkin Salad"", ""Garlic Sauté""]","[""米飯200"", ""ビーフストロガノフ風"", ""かぼちゃサラダ"", ""ガーリックソテー""]",[],[],Japanese,"[74.2, 17.2, 18.1, 4.9]","[336.0, 243.0, 122.0, 57.0]","[5.0, 15.1, 2.0, 2.6]","[0.6, 12.2, 5.3, 4.3]",lunch,昼
"[""Cooked rice (200g)"", ""Deep-fried chicken"", ""Daikon radish salad"", ""Egg drop soup""]","[""米飯200"", ""竜田揚げ"", ""大根なます"", ""かき玉汁""]",[],[],Japanese,"[74.2, 6.9, 9.2, 1.3]","[336.0, 276.0, 44.0, 40.0]","[5.0, 14.7, 0.6, 4.0]","[0.6, 19.9, 0.7, 2.2]",dinner,夕
"[""Dinner roll 120g"", ""Jam packet"", ""Macaroni salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""マカロニサラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 6.9, 22.3, 9.6]","[368.0, 38.0, 82.0, 85.0, 134.0]","[8.4, 0.0, 3.3, 1.1, 6.6]","[9.2, 0.0, 4.6, 0.2, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Salmon and Mushroom in Thickened Sauce"", ""Plum Paste Salad"", ""Tomato Soup""]","[""米飯200"", ""鮭のきのこあんかけ"", ""梅肉和え"", ""トマトスープ""]",[],[],Japanese,"[74.2, 9.0, 3.8, 7.7]","[336.0, 215.0, 23.0, 53.0]","[5.0, 15.6, 1.4, 2.0]","[0.6, 12.9, 0.6, 1.6]",lunch,昼
"[""Steamed Rice"", ""Seasoned Mixed Rice"", ""Nori-flavored Mixed Tempura Fritter"", ""Tempura Dipping Sauce"", ""Sesame and Vinegar Dressed Dish""]","[""米飯200"", ""(炊き込み御飯)"", ""かき揚げ磯辺揚げ"", ""天つゆ"", ""ごま酢和え""]",[],[],Japanese,"[74.2, 5.5, 21.2, 5.8, 6.2]","[336.0, 72.0, 219.0, 31.0, 43.0]","[5.0, 5.0, 7.2, 1.9, 3.1]","[0.6, 4.1, 11.4, 0.2, 0.9]",dinner,夕
"[""Milk bread, 120g"", ""Pouch of jam"", ""Meat omelet"", ""Fruit jelly"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""ミートインオムレツ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 4.3, 13.0, 9.6]","[330.0, 38.0, 55.0, 52.0, 134.0]","[8.9, 0.0, 3.2, 0.0, 6.6]","[4.9, 0.0, 2.5, 0.1, 7.6]",breakfast,朝
"[""Steamed Rice (200g)"", ""Meat and Garlic Chives"", ""Seaweed Salad"", ""Simmered Assorted Vegetables""]","[""米飯200"", ""ニラ肉"", ""海藻サラダ"", ""野菜くず煮""]",[],[],Japanese,"[74.2, 7.2, 2.1, 9.8]","[336.0, 183.0, 11.0, 41.0]","[5.0, 18.8, 0.6, 1.5]","[0.6, 8.6, 0.1, 0.1]",lunch,昼
"[""Cooked rice"", ""Oden"", ""Wasabi-dressed dish"", ""Canned fruit""]","[""米飯200"", ""おでん"", ""わさび和え"", ""果物缶""]",[],[],Japanese,"[74.2, 28.6, 3.2, 7.7]","[336.0, 276.0, 13.0, 32.0]","[5.0, 17.7, 1.0, 0.3]","[0.6, 10.3, 0.1, 0.1]",dinner,夕
"[""Brown Sugar Bread 120g"", ""Margarine"", ""Vegetable Salad"", ""Fruit Jelly"", ""Milk""]","[""黒糖食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[61.1, 0.0, 3.9, 10.9, 9.6]","[325.0, 59.0, 42.0, 44.0, 134.0]","[8.5, 0.0, 4.5, 0.1, 6.6]","[4.0, 6.6, 1.1, 0.0, 7.6]",breakfast,朝
"[""Cooked rice"", ""Teriyaki fish"", ""Chinese-style pickled daikon salad"", ""Spicy simmered dish""]","[""米飯200"", ""魚の照焼"", ""中華風なます"", ""ピリ辛煮""]",[],[],Japanese,"[74.2, 5.8, 8.9, 5.8]","[336.0, 157.0, 47.0, 50.0]","[5.0, 11.0, 0.9, 2.3]","[0.6, 9.8, 1.0, 2.2]",lunch,昼
"[""Cooked Rice"", ""Beef Curry"", ""Cauliflower Salad"", ""Canned Fruit"", ""Pickles""]","[""米飯200"", ""ビーフカレー"", ""カリフラサラダ"", ""果物缶"", ""漬物""]",[],[],Japanese,"[74.2, 25.9, 8.7, 10.1, 3.4]","[336.0, 259.0, 114.0, 42.0, 14.0]","[5.0, 13.1, 2.3, 0.2, 0.1]","[0.6, 11.5, 8.0, 0.1, 0.0]",dinner,夕
"[""120g Bread Roll"", ""Jam sachet"", ""Vegetable Salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""野菜サラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 3.5, 6.9, 9.6]","[368.0, 38.0, 48.0, 27.0, 134.0]","[8.4, 0.0, 2.2, 0.7, 6.6]","[9.2, 0.0, 3.0, 0.1, 7.6]",breakfast,朝
"[""Cooked rice (200g)"", ""Grilled fish"", ""Burdock root salad"", ""Assorted simmered vegetables""]","[""米飯200"", ""焼魚"", ""ごぼうサラダ"", ""炊き合わせ""]",[],[],Japanese,"[74.2, 1.6, 8.3, 5.8]","[336.0, 94.0, 105.0, 113.0]","[5.0, 13.9, 2.4, 7.0]","[0.6, 3.3, 7.0, 6.8]",lunch,昼
"[""Steamed Rice (200g)"", ""Hamburger Steak"", ""Fresh Vegetable Salad"", ""Consommé-Simmered Napa Cabbage and Mushrooms""]","[""米飯200"", ""ハンバーグステーキ"", ""生野菜サラダ"", ""白菜ときのこのコンソメ煮""]",[],[],Japanese,"[74.2, 14.6, 3.0, 5.0]","[336.0, 237.0, 16.0, 38.0]","[5.0, 10.3, 0.6, 1.9]","[0.6, 15.4, 0.2, 1.7]",dinner,夕
"[""Brown Sugar Bread"", ""Packet Jam"", ""Consommé Stew"", ""Fruit"", ""Milk""]","[""黒糖食パン120g"", ""袋ジャム"", ""コンソメ煮"", ""果物"", ""牛乳""]",[],[],Japanese,"[61.1, 9.8, 5.7, 22.3, 9.6]","[325.0, 38.0, 48.0, 85.0, 134.0]","[8.5, 0.0, 6.1, 1.1, 6.6]","[4.0, 0.0, 0.5, 0.2, 7.6]",breakfast,朝
"[""Rice (200g)"", ""Nanbu-style Grilled Dish"", ""Vinegared Nagaimo and Cucumber"", ""Simmered Assorted Soybeans and Vegetables"", ""Fruit Jelly""]","[""米飯200"", ""南部焼"", ""長芋と胡瓜の酢の物"", ""大豆五目煮"", ""果物ゼリー""]",[],[],Japanese,"[74.2, 2.1, 9.0, 11.5, 12.3]","[336.0, 152.0, 40.0, 79.0, 50.0]","[5.0, 15.0, 1.2, 5.8, 0.2]","[0.6, 8.5, 0.2, 2.3, 0.0]",lunch,昼
"[""Cooked Rice"", ""Braised Pork"", ""Blanched Vegetable Salad"", ""Steamed Egg Custard""]","[""米飯200"", ""煮豚"", ""茹野菜サラダ"", ""茶碗むし""]",[],[],Japanese,"[74.2, 7.3, 4.8, 4.9]","[336.0, 192.0, 25.0, 85.0]","[5.0, 14.1, 2.3, 8.7]","[0.6, 11.4, 0.2, 3.6]",dinner,夕
"[""Milk Bread 120g"", ""Margarine"", ""Vegetable Salad"", ""Fruit Jelly"", ""Milk""]","[""食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 0.0, 2.4, 10.9, 9.6]","[330.0, 59.0, 27.0, 44.0, 134.0]","[8.9, 0.0, 4.2, 0.1, 6.6]","[4.9, 6.6, 0.3, 0.0, 7.6]",breakfast,朝
"[""White rice"", ""Sukiyaki-style simmered dish"", ""Mustard-dressed dish"", ""Fruit""]","[""米飯200"", ""すき焼風煮"", ""からし和え"", ""果物""]",[],[],Japanese,"[74.2, 19.0, 2.7, 6.4]","[336.0, 242.0, 13.0, 25.0]","[5.0, 19.8, 0.8, 0.7]","[0.6, 10.2, 0.1, 0.1]",lunch,昼
"[""Steamed rice"", ""Meunière"", ""Red shiso-dressed dish"", ""Simmered dish""]","[""米飯200"", ""ムニエル"", ""ゆかり和え"", ""煮付""]",[],[],Japanese,"[74.2, 10.0, 3.1, 8.4]","[336.0, 230.0, 14.0, 80.0]","[5.0, 15.1, 0.7, 4.8]","[0.6, 13.8, 0.1, 3.5]",dinner,夕
"[""Loaf bread 120g"", ""Jam packet"", ""Egg salad"", ""Fruit gelatin"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""卵サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 2.0, 12.3, 9.6]","[330.0, 38.0, 112.0, 50.0, 134.0]","[8.9, 0.0, 3.8, 0.2, 6.6]","[4.9, 0.0, 9.9, 0.0, 7.6]",breakfast,朝
"[""Cooked rice (200g)"", ""Grilled mackerel"", ""Miso-vinegar dressed dish"", ""Simmered dish""]","[""米飯200"", ""焼魚(鯖)"", ""酢みそ和え"", ""いり煮""]",[],[],Japanese,"[74.2, 2.9, 8.5, 17.9]","[336.0, 185.0, 93.0, 90.0]","[5.0, 15.1, 4.8, 2.4]","[0.6, 12.0, 4.5, 2.1]",lunch,昼
"[""Rice"", ""Assorted Mixed Rice"", ""Chicken Karaage"", ""Fresh Vegetable Salad"", ""Grilled Eggplant with Grated Yam""]","[""米飯200"", ""(吹き寄せごはん)"", ""鶏肉のからあげ"", ""生野菜サラダ"", ""焼茄子とろろ""]",[],[],Japanese,"[74.2, 5.3, 12.9, 6.3, 10.1]","[336.0, 45.0, 291.0, 28.0, 49.0]","[5.0, 2.4, 17.4, 0.8, 2.0]","[0.6, 1.8, 17.9, 0.2, 0.2]",dinner,夕
"[""Bread roll (120g)"", ""Packet jam"", ""Macaroni salad"", ""Fruit jelly"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""マカロニサラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 6.9, 10.9, 9.6]","[368.0, 38.0, 82.0, 44.0, 134.0]","[8.4, 0.0, 3.3, 0.1, 6.6]","[9.2, 0.0, 4.6, 0.0, 7.6]",breakfast,朝
"[""Steamed rice"", ""Simmered beef"", ""Sunomono"", ""Sautéed Enoki Mushrooms""]","[""米飯200"", ""牛肉炒り煮"", ""酢の物"", ""えのきソテー""]",[],[],Japanese,"[74.2, 7.7, 5.3, 8.0]","[336.0, 175.0, 49.0, 49.0]","[5.0, 16.6, 6.3, 2.0]","[0.6, 8.2, 0.2, 2.5]",lunch,昼
"[""Cooked rice"", ""Spanish Omelet"", ""Seaweed Salad"", ""Clam Chowder""]","[""米飯200"", ""スパニッシュオムレツ"", ""海藻サラダ"", ""クラムチャウダー""]",[],[],Japanese,"[74.2, 7.4, 2.2, 9.9]","[336.0, 167.0, 14.0, 146.0]","[5.0, 9.8, 0.6, 5.1]","[0.6, 11.0, 0.4, 9.4]",dinner,夕
"[""120g White Bread"", ""Individual Jam"", ""Meat Omelet"", ""Fruit Jelly"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""ミートインオムレツ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 4.3, 13.0, 9.6]","[330.0, 38.0, 55.0, 52.0, 134.0]","[8.9, 0.0, 3.2, 0.0, 6.6]","[4.9, 0.0, 2.5, 0.1, 7.6]",breakfast,朝
"[""Steamed Rice (200g)"", ""Tonkatsu"", ""Green Salad with Caesar Dressing"", ""Red Miso Soup with Nameko Mushrooms""]","[""米飯200"", ""とんかつ"", ""生野菜サラダ(Pシーザー)"", ""赤出し(なめこ)""]",[],[],Japanese,"[74.2, 19.3, 4.6, 3.4]","[336.0, 334.0, 59.0, 29.0]","[5.0, 21.9, 1.0, 3.0]","[0.6, 18.4, 4.3, 0.9]",lunch,昼
"[""Steamed Rice"", ""Meunière"", ""Bok Choy with Mustard Dressing"", ""Tofu with Thickened Sauce""]","[""米飯200"", ""ムニエル70g"", ""青梗菜からし和え"", ""豆腐あんかけ""]",[],[],Japanese,"[74.2, 4.1, 2.0, 9.2]","[336.0, 180.0, 31.0, 112.0]","[5.0, 14.5, 5.3, 6.6]","[0.6, 10.9, 0.3, 5.2]",dinner,夕
"[""Brown sugar bread"", ""Margarine"", ""Vegetable salad"", ""Fruit jelly"", ""Milk""]","[""黒糖食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[61.1, 0.0, 3.9, 10.9, 9.6]","[325.0, 59.0, 42.0, 44.0, 134.0]","[8.5, 0.0, 4.5, 0.1, 6.6]","[4.0, 6.6, 1.1, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice (200g)"", ""Chicken Steak"", ""Potato Starch Noodle Salad"", ""Sautéed Mushrooms with Butter and Soy Sauce""]","[""米飯200"", ""チキンステーキ"", ""マロニーサラダ"", ""きのこのバター醤油炒め""]",[],[],Japanese,"[74.2, 18.1, 12.8, 6.6]","[336.0, 278.0, 120.0, 42.0]","[5.0, 17.6, 1.1, 2.8]","[0.6, 14.6, 6.9, 1.9]",lunch,昼
"[""Steamed Rice, 200g"", ""Sweet and Sour Marinated Fried Fish"", ""Spinach and Crab Stick Salad"", ""Wakame Soup""]","[""米飯200"", ""南蛮漬け"", ""ほうれん草とカニカマの和え物"", ""ワカメスープ""]",[],[],Japanese,"[74.2, 18.8, 4.2, 3.9]","[336.0, 216.0, 28.0, 17.0]","[5.0, 12.9, 3.6, 0.5]","[0.6, 9.8, 0.3, 0.0]",dinner,夕
"[""Dinner Roll 120g"", ""Packet of Jam"", ""Vegetable Salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""野菜サラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 3.5, 6.9, 9.6]","[368.0, 38.0, 48.0, 27.0, 134.0]","[8.4, 0.0, 2.2, 0.7, 6.6]","[9.2, 0.0, 3.0, 0.1, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Happosai"", ""Mixed Three-Shreds Salad"", ""Chinese Lettuce Soup""]","[""米飯200"", ""八宝菜"", ""拌三糸"", ""レタスの中華スープ""]",[],[],Japanese,"[74.2, 11.4, 17.6, 2.2]","[336.0, 259.0, 97.0, 32.0]","[5.0, 18.9, 1.5, 0.6]","[0.6, 14.5, 2.1, 2.3]",lunch,昼
"[""Steamed Rice"", ""Simmered Fish"", ""Potato Salad"", ""Stir-fried Bean Sprouts""]","[""米飯200"", ""煮魚"", ""ポテトサラダ"", ""もやし炒め""]",[],[],Japanese,"[74.2, 10.4, 17.6, 3.7]","[336.0, 99.0, 181.0, 45.0]","[5.0, 9.9, 3.2, 1.6]","[0.6, 1.8, 10.8, 3.1]",dinner,夕
"[""Brown sugar bread (120g)"", ""Packet jam"", ""Consommé stew"", ""Fruit"", ""Milk""]","[""黒糖食パン120g"", ""袋ジャム"", ""コンソメ煮"", ""果物"", ""牛乳""]",[],[],Japanese,"[61.1, 9.8, 5.7, 22.3, 9.6]","[325.0, 38.0, 48.0, 85.0, 134.0]","[8.5, 0.0, 6.1, 1.1, 6.6]","[4.0, 0.0, 0.5, 0.2, 7.6]",breakfast,朝
"[""Steamed Rice"", ""Eggplant Curry"", ""Western-style Blanched Vegetables"", ""Fruit Yogurt"", ""Japanese Pickles""]","[""米飯200"", ""茄子カレー"", ""洋風お浸し"", ""フルーツヨーグルト"", ""漬物""]",[],[],Japanese,"[74.2, 15.0, 5.2, 4.8, 3.4]","[336.0, 279.0, 31.0, 41.0, 14.0]","[5.0, 12.8, 2.9, 1.6, 0.1]","[0.6, 18.4, 0.3, 1.8, 0.0]",lunch,昼
"[""Steamed Rice"", ""Tandoori Chicken"", ""Fresh Vegetable Salad with Edamame"", ""Vegetable and Tofu Stew""]","[""米飯200"", ""タンドリーチキン"", ""生野菜サラダ(枝豆)"", ""けんちん煮""]",[],[],Japanese,"[74.2, 7.0, 3.4, 6.8]","[336.0, 180.0, 25.0, 67.0]","[5.0, 17.7, 1.9, 4.8]","[0.6, 9.5, 0.8, 2.6]",dinner,夕
"[""White Bread (120g)"", ""Margarine"", ""Vegetable Salad"", ""Fruit Jelly"", ""Milk""]","[""食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 0.0, 2.4, 10.9, 9.6]","[330.0, 59.0, 27.0, 44.0, 134.0]","[8.9, 0.0, 4.2, 0.1, 6.6]","[4.9, 6.6, 0.3, 0.0, 7.6]",breakfast,朝
"[""Rice"", ""Fried Shrimp"", ""Green Salad"", ""Consommé""]","[""米飯200"", ""海老フライ"", ""フレンチサラダ"", ""コンソメスープ""]",[],[],Japanese,"[74.2, 15.6, 7.1, 5.9]","[336.0, 231.0, 30.0, 27.0]","[5.0, 16.1, 1.3, 1.1]","[0.6, 11.9, 0.1, 0.2]",lunch,昼
"[""Cooked rice (200g)"", ""Miso-simmered mackerel"", ""Tofu and vegetable salad"", ""Vinegared mozuku seaweed""]","[""米飯200"", ""さば味噌煮"", ""白和え"", ""もずく酢""]",[],[],Japanese,"[74.2, 8.5, 5.7, 1.3]","[336.0, 216.0, 55.0, 6.0]","[5.0, 16.4, 3.5, 0.4]","[0.6, 12.4, 2.3, 0.1]",dinner,夕
"[""Milk bread 120g"", ""Jam packet"", ""Egg salad"", ""Fruit jelly"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""卵サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 2.0, 12.3, 9.6]","[330.0, 38.0, 112.0, 50.0, 134.0]","[8.9, 0.0, 3.8, 0.2, 6.6]","[4.9, 0.0, 9.9, 0.0, 7.6]",breakfast,朝
"[""Steamed Rice (200g)"", ""Grilled Fish"", ""Dressed Grated Daikon"", ""Meat and Potato Stew""]","[""米飯200"", ""焼魚"", ""おろし和え"", ""肉じゃが""]",[],[],Japanese,"[74.2, 3.0, 5.9, 15.0]","[336.0, 154.0, 27.0, 117.0]","[5.0, 14.0, 1.2, 4.9]","[0.6, 9.1, 0.1, 4.2]",lunch,昼
"[""Steamed Rice"", ""Pork Steak"", ""Cauliflower and Broccoli Salad"", ""Pumpkin Cream Soup""]","[""米飯200"", ""ポークステーキ"", ""花野菜サラダ"", ""南瓜クリームスープ""]",[],[],Japanese,"[74.2, 4.5, 6.1, 16.7]","[336.0, 256.0, 33.0, 109.0]","[5.0, 21.7, 2.8, 3.3]","[0.6, 15.9, 0.4, 3.8]",dinner,夕
"[""Bread roll (120g)"", ""Jam packet"", ""Macaroni salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""マカロニサラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 6.9, 22.3, 9.6]","[368.0, 38.0, 82.0, 85.0, 134.0]","[8.4, 0.0, 3.3, 1.1, 6.6]","[9.2, 0.0, 4.6, 0.2, 7.6]",breakfast,朝
"[""Cooked Rice"", ""Pork Curry Stir-fry"", ""Fresh Vegetable Salad"", ""Simmered Freeze-dried Tofu with Egg""]","[""米飯200"", ""豚肉のカレー炒め"", ""生野菜サラダ"", ""高野の卵とじ""]",[],[],Japanese,"[74.2, 9.5, 3.9, 7.9]","[336.0, 178.0, 16.0, 132.0]","[5.0, 19.4, 0.5, 9.7]","[0.6, 7.1, 0.0, 6.5]",lunch,昼
"[""Cooked rice (200g)"", ""Assorted Chirashi Sushi"", ""Simmered Shredded Daikon Radish"", ""Clear Soup""]","[""米飯200"", ""(五目散らし寿司)"", ""千切大根煮"", ""清汁""]",[],[],Japanese,"[74.2, 27.8, 10.5, 3.5]","[336.0, 252.0, 95.0, 19.0]","[5.0, 18.3, 3.9, 1.9]","[0.6, 7.9, 4.5, 0.1]",dinner,夕
"[""120g White Bread"", ""Jam Packet"", ""Meat Omelet"", ""Fruit Gelatin"", ""Milk""]","[""食パン120g"", ""袋ジャム"", ""ミートインオムレツ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[58.1, 9.8, 4.3, 13.0, 9.6]","[330.0, 38.0, 55.0, 52.0, 134.0]","[8.9, 0.0, 3.2, 0.0, 6.6]","[4.9, 0.0, 2.5, 0.1, 7.6]",breakfast,朝
"[""Steamed rice"", ""Chinese-style Beef Stir-fry"", ""Perilla with Vinegar Dressing"", ""Cellophane Noodle Soup""]","[""米飯200"", ""牛肉華風炒め"", ""しそ酢和え"", ""春雨スープ""]",[],[],Japanese,"[74.2, 8.5, 6.9, 6.0]","[336.0, 214.0, 27.0, 36.0]","[5.0, 17.4, 1.4, 0.9]","[0.6, 11.9, 0.2, 0.8]",lunch,昼
"[""Steamed rice"", ""Braised Amberjack and Daikon"", ""Salad"", ""Braised Kabocha and Ground Meat""]","[""米飯200"", ""ぶり大根"", ""ドレッシングサラダ"", ""南瓜そぼろ煮""]",[],[],Japanese,"[74.2, 10.5, 6.0, 18.6]","[336.0, 226.0, 29.0, 100.0]","[5.0, 16.6, 1.7, 7.2]","[0.6, 12.5, 0.2, 0.6]",dinner,夕
"[""Brown Sugar Bread"", ""Margarine"", ""Vegetable Salad"", ""Fruit Gelatin"", ""Milk""]","[""黒糖食パン120g"", ""マーガリン"", ""野菜サラダ"", ""果物ゼリー"", ""牛乳""]",[],[],Japanese,"[61.1, 0.0, 3.9, 10.9, 9.6]","[325.0, 59.0, 42.0, 44.0, 134.0]","[8.5, 0.0, 4.5, 0.1, 6.6]","[4.0, 6.6, 1.1, 0.0, 7.6]",breakfast,朝
"[""Rice"", ""Sweet and sour pork"", ""Namul"", ""Simmered Hijiki""]","[""米飯200"", ""酢豚"", ""ナムル"", ""ひじき炒煮""]",[],[],Japanese,"[74.2, 27.2, 4.4, 7.5]","[336.0, 292.0, 44.0, 78.0]","[5.0, 19.8, 2.3, 3.1]","[0.6, 11.4, 2.3, 4.9]",lunch,昼
"[""Steamed Rice"", ""Yuan-style Grilled Fish"", ""Masago Salad"", ""Steamed Plum""]","[""米飯200"", ""幽庵焼き70g"", ""まさご和え"", ""梅蒸し""]",[],[],Japanese,"[74.2, 1.8, 3.6, 2.3]","[336.0, 133.0, 25.0, 56.0]","[5.0, 14.3, 2.6, 4.2]","[0.6, 6.8, 0.4, 3.1]",dinner,夕
"[""Bread Roll 120g"", ""Single-serving Jam"", ""Vegetable Salad"", ""Fruit"", ""Milk""]","[""ロールパン120g"", ""袋ジャム"", ""野菜サラダ"", ""果物"", ""牛乳""]",[],[],Japanese,"[60.2, 9.8, 3.5, 6.9, 9.6]","[368.0, 38.0, 48.0, 27.0, 134.0]","[8.4, 0.0, 2.2, 0.7, 6.6]","[9.2, 0.0, 3.0, 0.1, 7.6]",breakfast,朝
"[""Plain Rice (200g)"", ""Aromatic Grilled Chicken"", ""Napa Cabbage Sesame Salad"", ""Miso-Braised Stir-fry""]","[""米飯200"", ""鶏の香味焼き"", ""白菜ごま和え"", ""みそ炒め煮""]",[],[],Japanese,"[74.2, 3.4, 3.8, 9.0]","[336.0, 144.0, 20.0, 86.0]","[5.0, 15.7, 1.0, 3.6]","[0.6, 7.0, 0.4, 4.2]",lunch,昼
"[""Cooked rice"", ""Mixed vegetable omelet"", ""Vinegared salad"", ""Pork miso soup""]","[""米飯200"", ""千草焼"", ""生酢"", ""豚汁""]",[],[],Japanese,"[74.2, 7.7, 7.1, 6.4]","[336.0, 177.0, 73.0, 63.0]","[5.0, 16.0, 3.0, 6.1]","[0.6, 8.7, 3.5, 1.5]",dinner,夕
